Sprint,Periode,Task / Fitur,Role,PIC,Durasi (Hari),Dependencies,S1 (07-18 Sep),S2 (21 Sep-02 Okt),S3 (05-16 Okt),S4 (19-30 Okt),S5 (02-13 Nov),S6 (16-27 Nov),S7 (30 Nov-11 Des),S8 (14-25 Des),S9 (04-15 Jan)
Sprint 1,07/09/2026 - 18/09/2026,"Wireframe SKU, Skema Harga Bertingkat & Voucher",UI/UX,PL,10,-,UI/UX 1,,,,,,,,
Sprint 1,07/09/2026 - 18/09/2026,API Manajemen SKU Produk & Skema Harga per Tipe Pesanan,Backend,PL,10,-,BE 1,,,,,,,,
Sprint 1,07/09/2026 - 18/09/2026,API Mesin Perhitungan Harga Grosir / Bertingkat,Backend,PL,10,-,BE 2,,,,,,,,
Sprint 1,07/09/2026 - 18/09/2026,UI Manajemen SKU & Pemilihan Tipe Pesanan di Katalog,Frontend,PL,10,UI/UX 1,FE 1,,,,,,,,
Sprint 1,07/09/2026 - 18/09/2026,UI Pengaturan Harga Grosir & Penerapan Otomatis di Keranjang,Frontend,PL,10,UI/UX 1,FE 2,,,,,,,,
Sprint 1,07/09/2026 - 18/09/2026,"Pengujian SKU, Logika Harga Bertingkat & Pembulatan Nilai",QA,QA 1,10,All Team,QA 1,,,,,,,,
Sprint 2,21/09/2026 - 02/10/2026,Desain Tata Letak Meja & Manajemen Meja,UI/UX,PL,10,-,,UI/UX 1,,,,,,,
Sprint 2,21/09/2026 - 02/10/2026,API Login Google OAuth2 & Pengelolaan Token Sesi,Backend,PL,10,-,,BE 1,,,,,,,
Sprint 2,21/09/2026 - 02/10/2026,API Mesin Validasi & Penggunaan Voucher,Backend,PL,10,-,,BE 2,,,,,,,
Sprint 2,21/09/2026 - 02/10/2026,UI Masuk dengan Google & Input Voucher saat Pembayaran,Frontend,PL,10,BE Team,,FE 1,,,,,,,
Sprint 2,21/09/2026 - 02/10/2026,Driver Printer WebUSB & Pengurai Perintah Raw ESC/POS,Frontend,PL,10,-,,FE 2,,,,,,,
Sprint 2,21/09/2026 - 02/10/2026,"Pengujian OAuth2, Skenario Voucher & Cetak Langsung USB",QA,QA 1,10,Sprint 2 Dev,,QA 1,,,,,,,
Sprint 3,05/10/2026 - 16/10/2026,Desain Layar Pelanggan & Buku Kas Poin Anggota,UI/UX,PL,10,-,,,UI/UX 1,,,,,,
Sprint 3,05/10/2026 - 16/10/2026,API Tagihan Terbuka (Open Bill) & Status Meja,Backend,PL,10,-,,,BE 1,,,,,,
